YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,11.64,10.74,11.54,14.04,16.34,17.74,17.94,19.24,17.64,16.64,13.74,14.14,11.27,13.97,18.31,16.01,14.89
1881,11.84,13.54,12.74,16.44,17.34,18.34,20.04,20.64,19.64,16.74,14.14,13.04,13.17,15.51,19.67,16.84,16.30
1882,10.54,11.04,13.24,14.14,17.14,18.44,19.74,21.74,19.74,17.04,14.24,13.44,11.54,14.84,19.97,17.01,15.84
1883,12.14,12.54,14.54,14.54,16.34,19.74,20.84,21.04,21.34,16.84,15.14,14.44,12.71,15.14,20.54,17.77,16.54
1884,13.04,13.64,14.04,14.64,16.84,18.54,20.74,21.34,18.74,16.64,15.14,12.74,13.71,15.17,20.21,16.84,16.48
1885,12.54,13.34,15.74,17.14,17.84,18.44,20.24,22.64,20.34,18.14,15.64,14.24,12.87,16.91,20.44,18.04,17.07
1886,13.54,15.04,13.14,14.44,16.24,17.74,20.04,21.84,19.64,15.74,13.64,13.64,14.27,14.61,19.87,16.34,16.27
1887,12.64,11.94,14.34,15.44,17.24,18.64,19.64,19.54,19.14,18.44,15.44,12.84,12.74,15.67,19.27,17.67,16.34
1888,11.14,13.04,13.64,16.44,16.74,19.34,20.44,20.84,21.24,18.64,15.64,14.64,12.34,15.61,20.21,18.51,16.66
1889,12.84,14.84,15.54,16.14,16.34,18.04,20.04,21.74,21.54,18.84,16.74,14.24,14.11,16.01,19.94,19.04,17.27
1890,10.74,12.74,14.04,15.14,16.14,18.14,20.54,21.24,20.84,18.34,17.74,16.14,12.57,15.11,19.97,18.97,16.66
1891,12.74,12.24,14.24,14.94,16.34,17.84,20.74,22.64,21.54,17.94,15.34,11.34,13.71,15.17,20.41,18.27,16.89
1892,13.04,13.14,13.74,14.74,16.54,16.94,18.54,20.14,18.84,17.34,16.14,12.44,12.51,15.01,18.54,17.44,15.87
1893,14.34,12.84,12.74,14.54,16.54,17.74,19.84,21.34,18.34,17.34,14.34,14.24,13.21,14.61,19.64,16.67,16.03
1894,9.94,10.64,11.84,13.94,15.14,16.64,18.44,19.64,19.14,17.34,14.04,12.73,11.61,13.64,18.24,16.84,15.08
1895,12.03,13.63,13.43,14.73,17.03,17.53,18.83,19.73,19.93,18.23,15.33,12.81,12.80,15.06,18.70,17.83,16.10
1896,13.21,14.61,15.01,14.01,17.01,18.51,20.51,21.01,19.51,18.11,15.51,15.10,13.54,15.34,20.01,17.71,16.65
1897,13.40,13.00,12.70,15.80,16.40,17.70,19.60,21.20,20.30,17.10,15.70,12.78,13.83,14.97,19.50,17.70,16.50
1898,10.58,13.18,12.88,15.38,15.18,17.88,19.48,21.58,20.48,17.08,15.28,13.67,12.18,14.48,19.65,17.61,15.98
1899,13.17,12.17,13.97,14.87,14.57,16.57,18.77,18.97,18.77,17.27,16.07,14.85,13.00,14.47,18.10,17.37,15.74
1900,14.45,14.55,15.45,14.05,16.35,18.15,19.95,19.15,18.85,17.45,18.15,15.74,14.62,15.28,19.08,18.15,16.78
1901,13.54,14.44,15.94,14.44,15.84,17.14,18.94,20.24,18.44,17.24,16.04,14.32,14.57,15.41,18.77,17.24,16.50
1902,13.62,12.92,13.02,14.22,15.92,16.92,18.62,19.42,19.12,17.12,14.62,13.21,13.62,14.39,18.32,16.95,15.82
1903,13.91,11.51,14.51,14.91,16.11,17.51,19.11,20.31,20.11,17.61,16.41,14.29,12.88,15.18,18.98,18.04,16.27
1904,13.19,12.79,13.89,15.19,16.09,18.19,19.39,21.69,21.39,19.49,17.89,14.88,13.42,15.06,19.76,19.59,16.96
1905,14.58,15.18,15.58,15.28,15.68,17.18,18.48,19.68,19.18,17.78,15.08,13.26,14.88,15.51,18.45,17.35,16.55
1906,12.56,14.66,14.56,14.76,15.76,18.36,20.46,20.36,20.16,18.66,14.46,13.45,13.49,15.03,19.73,17.76,16.50
1907,11.55,15.85,13.95,15.45,16.15,17.25,20.05,19.55,18.45,18.35,16.15,14.23,13.62,15.18,18.95,17.65,16.35
1908,13.83,12.43,14.03,15.43,14.33,15.63,19.33,20.03,19.33,16.53,14.23,12.01,13.50,14.60,18.33,16.70,15.78
1909,12.31,12.51,12.71,15.11,15.61,17.01,18.41,20.31,19.31,17.71,13.91,12.00,12.28,14.48,18.58,16.98,15.58
1910,11.20,11.80,14.20,16.60,16.30,16.70,19.40,19.90,19.90,17.80,14.70,13.28,11.67,15.70,18.67,17.47,15.88
1911,13.38,11.38,14.58,14.38,15.28,16.88,18.98,19.58,18.98,17.28,16.38,11.77,12.68,14.75,18.48,17.55,15.86
